Relative Time	Peak at 1100	Peak at 1125	Peak at 1650	Annotations
01:33:56	-0.00303984	-0.00479765	-0.0163306	
01:34:26	-0.00487981	-0.00105785	-0.00365242	
01:34:56	-0.00456645	-0.00168816	-0.018664	
01:35:26	-0.00366717	-0.00323463	-0.0202717	
01:35:56	-0.00691507	-0.00132255	-0.00582385	
01:36:26	-0.00857977	-0.00184581	0.00339653	
01:36:56	-0.00679597	-0.0017882	0.001443	
01:37:26	-0.00832532	-0.00168294	-0.00871808	
01:37:56	-0.00918379	-0.00182975	-0.010057	
01:38:26	-0.00271891	-0.00211633	-0.00098802	
01:38:56	-0.00547744	-0.00203083	-0.0103886	
01:39:26	-0.0121286	-0.00113964	-0.00530669	
01:39:56	-0.00598471	-0.00227396	-0.00440006	
01:40:26	-0.00669852	-0.00186047	0.00371092	
01:40:56	-0.00320289	-0.00230352	-0.00588681	
01:41:26	-0.00680761	-0.00451446	-0.00434169	
01:41:56	-0.0149164	0.000818957	-0.0048819	
01:42:25	-0.00629555	-0.00117197	-0.000986054	
01:42:56	-0.011523	-0.00114254	-0.00759329	
01:43:26	-0.0109685	-0.0012772	-0.00616391	
01:43:56	-0.00882451	0.000866707	-0.00263253	
01:44:26	-0.00954952	0.00134375	-0.013024	
01:44:56	-0.0107644	-0.00254786	0.00391301	
01:45:26	-0.00555377	-0.00182443	-0.00379451	
01:45:56	-0.0106525	-0.00351498	0.00192442	
01:46:26	-0.0117143	0.000754552	0.00608644	
01:46:56	-0.00752294	0.00369207	0.000325555	
01:47:26	0.0207873	0.0322683	0.00799744	
01:47:57	0.0599852	0.0826437	0.0580591	
01:48:25	0.0324591	0.0488282	0.0332148	
01:48:56	-0.00126796	0.00557708	0.00335306	
01:49:26	-0.00702997	-0.00226454	0.000163765	
01:49:56	-0.0119192	-0.00350348	-0.003929	
01:50:26	-0.00256895	-0.00284025	-0.00757641	
01:50:56	-0.010004	0.0014286	-0.00520819	
01:51:26	-0.0077082	-0.00143581	-0.00906323	
01:51:56	-0.00577214	-0.00140733	-0.00513471	
01:52:26	-0.0102495	-0.00307869	-0.0120082	
01:52:56	-0.00532718	-0.00133613	-0.00400134	
01:53:26	-0.00940653	-0.000263932	-0.00841035	
01:53:56	-0.010284	-0.00209105	-0.00868891	
01:54:26	-0.00894219	-0.00184903	-0.0105303	
01:54:56	-0.00187949	-0.00307152	-0.0112655	
01:55:26	-0.00172903	0.00109656	0.00586343	
01:55:56	-0.00375476	-0.000900846	-0.00604821	
01:56:26	-0.00530044	-0.00110854	-0.00497505	
