Relative Time	Peak at 829 cm-1	Peak at 1204 cm-1	Peak at 1704 cm-1	Peak at 1753 cm-1	Annotations
01:45:56	0.0126673	0.267863	0.107046	0.269866	
01:46:10	0.0194796	0.207945	0.0792504	0.227262	
01:46:26	0.0123681	0.153864	0.0576477	0.177072	
01:46:41	0.00136714	0.0932678	0.0422488	0.140448	
01:46:56	0.00940672	0.0213982	0.0249296	0.0888109	
01:47:11	-0.00129823	-0.0021028	0.0199237	0.0881772	
01:47:26	-0.00439536	-0.00972747	0.0194017	0.0747393	
01:47:41	-0.00254568	-0.0172611	0.0152096	0.0651665	
01:47:56	-0.000744777	-0.0142779	0.0175735	0.0942076	
01:48:11	-0.0015367	0.00712276	0.0199289	0.0714301	
01:48:26	0.00195395	0.100234	0.0260765	0.15428	
01:48:41	0.0225924	0.391506	0.0521459	0.38573	
01:48:56	0.0646071	1.10087	0.197664	0.918506	
01:49:11	0.150057	2.10875	0.492768	1.65703	
01:49:26	0.220794	2.71826	0.771182	2.08023	
01:49:41	0.225073	2.58498	0.826031	1.93359	
01:49:56	0.19809	2.25203	0.728611	1.69976	
01:50:11	0.161633	1.81079	0.59638	1.37582	
01:50:26	0.133238	1.458	0.489442	1.11042	
01:50:41	0.102134	1.20138	0.402575	0.911283	
01:50:56	0.0844884	0.969128	0.332731	0.746603	
01:51:11	0.0656897	0.759627	0.257982	0.614845	
01:51:26	0.0496243	0.5793	0.194163	0.480378	
01:51:41	0.032715	0.432286	0.148675	0.377194	
01:51:56	0.018902	0.30453	0.109549	0.295548	
01:52:11	0.0193249	0.223854	0.0795172	0.232609	
01:52:26	0.0141671	0.167675	0.0718767	0.188127	
01:52:41	0.0047696	0.118961	0.046188	0.145297	
01:52:56	0.000335241	0.0493846	0.0290087	0.113128	
01:53:11	0.00125791	0.00756564	0.0236771	0.097273	
01:53:26	-0.00212304	-0.00127169	0.0201256	0.0823725	
01:53:41	-0.00464971	-0.0147794	0.0119576	0.0849763	
01:53:56	-0.00456028	-0.0105508	0.0212148	0.0570552	
01:54:11	-0.00149095	-0.0173022	0.0146781	0.0881942	
01:54:26	0.000165932	-0.0132443	0.0136804	0.0702383	
01:54:41	0.00577809	0.0186117	0.0170659	0.105325	
01:54:56	0.00187544	0.133377	0.0298305	0.187929	
01:55:11	0.0277275	0.491623	0.0735901	0.465011	
01:55:26	0.0823481	1.26133	0.243072	1.0453	
