Relative Time	Peak at 1591 cm-1	Annotations
03:11:11	0.0114858	
03:11:26	0.0129838	
03:11:41	0.0120831	
03:11:56	0.00769548	
03:12:11	0.0126897	
03:12:26	0.0199115	
03:12:41	0.0678369	
03:12:56	0.0720937	
03:13:11	0.0523572	
03:13:26	0.0544641	
03:13:41	0.0485744	
03:13:56	0.0511008	
03:14:11	0.0507926	
03:14:26	0.0488793	
03:14:40	0.0532854	
03:14:56	0.0509664	
03:15:10	0.0525381	
03:15:25	0.0487112	
03:15:41	0.051849	
03:15:55	0.014392	
03:16:11	0.00777901	
03:16:26	0.0101894	
03:16:41	0.0100168	
03:16:56	0.00684474	
03:17:11	0.0115626	
03:17:26	0.0087277	
03:17:41	0.00785455	
03:17:56	0.00873341	
03:18:11	0.0075377	
03:18:25	0.010987	
03:18:41	0.0105341	
03:18:56	0.011457	
03:19:11	0.00972507	
03:19:25	0.0119583	
03:19:41	0.00875568	
03:19:56	0.0108674	
03:20:11	0.0118868	
03:20:26	0.0512378	
03:20:40	0.0583363	
03:20:54	0.0437846	
03:21:10	0.0416808	
03:21:26	0.0426651	
03:21:40	0.0448457	
03:21:56	0.0404891	
03:22:11	0.04289	
03:22:26	0.0448221	
03:22:41	0.0423904	
03:22:56	0.0417131	
03:23:11	0.0412954	
03:23:26	0.0424658	
03:23:41	0.03725	
03:23:56	0.00804568	
03:24:11	0.00943304	
03:24:26	0.0107823	
03:24:41	0.00999531	
03:24:56	0.00855817	
03:25:11	0.00761535	
03:25:25	0.011928	
03:25:40	0.0132086	
03:25:55	0.00995236	
03:26:11	0.0152567	
03:26:26	0.0102341	
03:26:41	0.0105717	
03:26:56	0.00936138	
03:27:11	0.0111382	
03:27:26	0.0118722	
03:27:41	0.00748186	
03:27:56	0.00891209	
03:28:11	0.0238644	
03:28:26	0.0425908	
03:28:41	0.0395592	
03:28:56	0.0348255	
03:29:11	0.0291992	
03:29:26	0.0306729	
03:29:41	0.0323946	
03:29:56	0.031845	
03:30:10	0.0320983	
03:30:26	0.0341185	
03:30:41	0.0304922	
03:30:55	0.0328223	
03:31:11	0.0314976	
03:31:26	0.0324452	
03:31:41	0.01917	
03:31:56	0.0069792	
03:32:10	0.00519522	
03:32:26	0.0101359	
03:32:41	0.0100097	
03:32:55	0.0109761	
03:33:10	0.0072385	
03:33:25	0.00624638	
03:33:41	0.0104354	
03:33:55	0.00812324	
03:34:10	0.0100515	
03:34:25	0.00934623	
03:34:40	0.0109438	
03:34:56	0.00916177	
03:35:11	0.0110789	
03:35:26	0.00873134	
