Relative Time	Peak at 829 cm-1	Peak at 1216 cm-1	Peak at 1714 cm-1	Peak at 1753 cm-1
01:20:26	0.0310771	0.338343	0.163574	0.265272
01:20:55	0.206908	1.54286	0.923742	0.903726
01:21:26	0.278975	1.8567	1.27905	1.06289
01:21:56	0.210859	1.43475	0.999595	0.822953
01:22:25	0.139887	1.01612	0.712	0.598775
01:22:55	0.0856065	0.640463	0.449197	0.414278
01:23:26	0.0512188	0.374582	0.273863	0.287338
01:23:56	0.0270325	0.209379	0.172875	0.203771
01:24:25	0.0114629	0.115667	0.120315	0.160326
01:24:55	0.00142626	0.0213299	0.0678503	0.101084
01:25:25	-0.0036517	-0.00928389	0.0528545	0.0688345
01:25:56	-3.48184e-05	0.018022	0.0467743	0.0947333
01:26:26	0.0563055	0.490048	0.263243	0.354891
01:26:56	0.242055	1.62561	1.0623	0.898915
01:27:26	0.250456	1.60402	1.15131	0.867178
01:27:56	0.185588	1.22603	0.880646	0.689958
01:28:26	0.122604	0.828773	0.602266	0.499549
01:28:56	0.0709901	0.514777	0.37465	0.338857
01:29:26	0.0359615	0.288815	0.22367	0.234223
01:29:56	0.0174003	0.162424	0.151242	0.166693
01:30:26	0.00834273	0.0791892	0.100488	0.130618
01:30:56	-0.000192162	0.00212739	0.0569423	0.098062
01:31:26	-0.00029914	-0.0143501	0.0484287	0.0867851
01:31:56	-0.00025856	0.0464929	0.0587063	0.105001
01:32:26	0.0855378	0.675309	0.407104	0.422453
01:32:55	0.254219	1.57157	1.1252	0.822009
01:33:25	0.219028	1.33967	0.997026	0.713279
01:33:56	0.155529	0.974885	0.735013	0.531662
01:34:26	0.0960775	0.65241	0.492091	0.398336
01:34:56	0.0488139	0.384214	0.297893	0.27261
01:35:26	0.0252574	0.213446	0.18723	0.201174
01:35:56	0.0142726	0.112725	0.118904	0.148396
01:36:26	0.00402018	0.0314225	0.0729263	0.115211
01:36:56	-0.00200611	-0.00780019	0.0515968	0.0854305
